kx,ky,phasor
-49+0i,-49+0i,-0.65397339494981-3.4389601511625i
-49+0i,-48+0i,6.18261921680767-0.97916413655315i
-49+0i,-47+0i,2.48839327453745-8.98917238686483i
-49+0i,-46+0i,-6.56129009829715+3.77282955496916i
-49+0i,-45+0i,5.47574138532979+6.57190972546021i
-49+0i,-44+0i,1.21946289762944-3.41565626685564i
-49+0i,-43+0i,-0.33513248769618+6.60834158909755i
-49+0i,-42+0i,0.970882481602553-0.577609161587372i
-49+0i,-41+0i,0.196041150789392-0.96263679264835i
-49+0i,-40+0i,1.68617548376435-6.58164758809503i
-49+0i,-39+0i,-3.47358225113518-7.79939636130736i
-49+0i,-38+0i,5.19735462000319+5.06554323536145i
-49+0i,-37+0i,-2.70469039411097-2.8731931501745i
-49+0i,-36+0i,-9.1304903414796+2.76683337468657i
-49+0i,-35+0i,6.78757536346848-0.11259183762863i
-49+0i,-34+0i,6.445066625955-10.9742412764005i
-49+0i,-33+0i,-0.183318728350399+0.542406587426762i
-49+0i,-32+0i,-5.67445332376154-0.5664568945172i
-49+0i,-31+0i,-2.65551619433223+2.47459221110092i
-49+0i,-30+0i,5.93170732424341+4.36731845884423i
-49+0i,-29+0i,-1.72715406778389-6.99936509012826i
-49+0i,-28+0i,-5.75699554836091+2.46354906547669i
-49+0i,-27+0i,2.95965870260039+0.58110757955773i
-49+0i,-26+0i,6.43539691455955-5.4437166323545i
-49+0i,-25+0i,3.65792037633541+7.38052292786635i
-49+0i,-24+0i,-10.0069354701179+0.6850805867733i
-49+0i,-23+0i,-16.6295573603177+0.2550635195273i
-49+0i,-22+0i,0.17887515470845+1.84336571754165i
-49+0i,-21+0i,4.05725942314587-8.67915382709558i
-49+0i,-20+0i,5.6911036497145-3.81983642881272i
-49+0i,-19+0i,14.8140987492008-4.580838805832i
-49+0i,-18+0i,7.77874530597117+3.0089447421091i
-49+0i,-17+0i,6.82471176124828+5.14660051171544i
-49+0i,-16+0i,1.74775951847874-5.88479069994095i
-49+0i,-15+0i,-6.95778593147491+3.32844505128431i
-49+0i,-14+0i,2.55929543939848-7.25840333640784i
-49+0i,-13+0i,1.03125962594165+1.3108007036218i
-49+0i,-12+0i,-8.528242444657+30.920816692406i
-49+0i,-11+0i,-2.89502580582158-3.29938793090652i
-49+0i,-10+0i,8.6490862387139-12.4296747329458i
-49+0i,-9+0i,-9.4791145134718+24.4555756132307i
-49+0i,-8+0i,-39.4148557344949+3.6691364184591i
-49+0i,-7+0i,3.1471818410631-23.8816634755308i
-49+0i,-6+0i,37.7648788867938-15.617927996145i
-49+0i,-5+0i,-8.76278578767849-5.38899965101004i
-49+0i,-4+0i,8.3158637106962-7.64093232064471i
-49+0i,-3+0i,43.4269743771595-22.3960548535513i
-49+0i,-2+0i,-4.89578456782076+5.97115553471802i
-49+0i,-1+0i,-7.2862495770721+32.5065517835443i
-49+0i,0+0i,10.0995736640191-2.2406964107455i
-49+0i,1+0i,-20.2230422101161+1.3450968965433i
-49+0i,2+0i,-20.2183705433794+13.1635040308447i
-49+0i,3+0i,-11.4868787786969-18.1030935532604i
-49+0i,4+0i,-11.4028111833012-1.6785078401746i
-49+0i,5+0i,-7.60644160334585+8.7891960648318i
-49+0i,6+0i,-6.0697405277818-19.606685373253i
-49+0i,7+0i,25.5877143385622-1.464007999767i
-49+0i,8+0i,28.7428969268641+20.1321461436756i
-49+0i,9+0i,-3.49940287351688+7.70361659172384i
-49+0i,10+0i,1.05955040837054+4.79389939505589i
-49+0i,11+0i,-7.452650229527+13.6206924227584i
-49+0i,12+0i,-21.3032890089575+10.0516276533108i
-49+0i,13+0i,0.70046515883732-3.65853985249793i
-49+0i,14+0i,-1.4231514656192-11.1353742663562i
-49+0i,15+0i,-14.6533423546148-9.57607249987i
-49+0i,16+0i,5.37746856743251-0.85585572562315i
-49+0i,17+0i,9.98712167700284+1.5077131629316i
-49+0i,18+0i,-1.336531788683+8.94369919396765i
-49+0i,19+0i,8.30083745990752+8.36328518496546i
-49+0i,20+0i,-1.66420537887473-5.78533465718729i
-49+0i,21+0i,-8.80330528434746+4.56762332991162i
-49+0i,22+0i,10.9506110826604-7.6176204754102i
-49+0i,23+0i,7.4553073731684-23.9053217602345i
